4.99.1.M4	phenylacetonitrile-specifying protein	RXN-12025+RXN-8136+RXNQT-4351
1.8.5.3	dimethyl sulfoxide reductase	DIMESULFREDUCT-RXN
1.7.2.2	periplasmic nitrite reductase	RXN-18605
1.3.5.4	fumarate reductase	R601-RXN+RXN-14963
1.11.1.-	cytochrome c peroxidase	RXN-19020
1.12.5.1	hydrogen:menaquinone oxidoreductase	RXN0-5256
7.1.1.7	cytochrome bd-I ubiquinol oxidase	RXN0-5266
1.7.5.1	menaquinol:nitrate oxidoreductase	RXN0-3501+RXN0-7124
1.9.6.1	nitrate reductase (cytochrome)	NITRATE-REDUCTASE-CYTOCHROME-RXN
1.18.1.2	ferredoxin-NADP oxidoreductase	1.18.1.2-RXN
1.5.5.2	proline dehydrogenase/1-pyrroline-5-carboxylate dehydrogenase	RXN0-7008+RXN-14903
1.21.99.M4	tetrathionate reductase	RXN-8358
3.1.1.31	6-phosphogluconolactonase	6PGLUCONOLACT-RXN
4.2.1.12	phosphogluconate dehydratase	PGLUCONDEHYDRAT-RXN
1.1.1.119/1.1.1.360	glucose dehydrogenase	GLUCOSE-1-DEHYDROGENASE-NADP+-RXN
4.2.1.39/4.2.1.140	gluconate dehydratase	GLUCONATE-DEHYDRATASE-RXN
4.1.2.51	2-dehydro-3-deoxy-D-gluconate D-glyceraldehyde lyase (pyruvate-forming)	DHDOGALDOL-RXN
2.7.1.45/2.7.1.178	2-keto-3-deoxy-gluconate kinase	DEOXYGLUCONOKIN-RXN
4.1.1.32	phosphoenolpyruvate carboxykinase (GTP)	4.1.1.32-RXN+RXN-12481
1.1.1.37	malate dehydrogenase	MALATE-DEH-RXN
1.3.8.10	cyclohex-1-ene-1-carbonyl-CoA dehydrogenase	R265-RXN
1.21.4.2	glycine reductase	RXN-7566
4.2.1.2	fumarase	FUMHYDR-RXN
2.8.3.M4	propionyl-CoA:succinate CoA transferase	RXN0-268
1.1.1.38	NAD+-dependent malate dehydrogenase	1.1.1.39-RXN
1.2.1.aj	pyruvate dehydrogenase	PYRUVDEH-RXN
2.8.3.18	succinyl-CoA:acetate CoA-transferase	RXN-8807
1.2.1.9	glyceraldehyde 3-phosphate dehydrogenase	1.2.1.9-RXN
2.7.1.146	ADP-dependent phosphofructokinase	R302-RXN
1.2.7.6	glyceraldehyde-3-phosphate ferredoxin oxidoreductase	1.2.7.6-RXN
1.12.1.4	hydrogenase	RXN-12215
1.12.1.2	hydrogen dehydrogenase	HYDROGEN-DEHYDROGENASE-RXN
1.12.7.2	hydrogenase	HYDROG-RXN
1.12.1.3	hydrogenase	1.12.1.3-RXN
1.18.99.-	hydrogenase	RXN-12275
1.2.7.4	carbon-monoxide dehydrogenase	1.2.7.4-RXN
2.6.1.1	aspartate aminotransferase	ASPAMINOTRANS-RXN
1.1.1.44	6-phosphogluconate dehydrogenase, decarboxylating	RXN-9952
2.2.1.2	transaldolase	TRANSALDOL-RXN
1.1.1.49	glucose-6-phosphate 1-dehydrogenase	GLU6PDEHYDROG-RXN
4.1.2.43	3-hexulose-6-phosphate formaldehyde lyase	R10-RXN
2.6.1.2	alanine transaminase	ALANINE-AMINOTRANSFERASE-RXN+RXN-13698
1.1.1.82	NADP malate dehydrogenase	MALATE-DEHYDROGENASE-NADP+-RXN
1.1.1.40	malate dehydrogenase (oxaloacetate-decarboxylating) (NADP+)	MALIC-NADP-RXN
2.7.9.1	pyruvate orthophosphate dikinase	PYRUVATEORTHOPHOSPHATE-DIKINASE-RXN
4.1.1.49	phosphoenolpyruvate carboxykinase (ATP)	PEPCARBOXYKIN-RXN
3.1.3.18	phosphoglycolate phosphatase	GPH-RXN
1.1.3.15	glycolate oxidase	RXN-969
2.6.1.45	serine:glyoxylate aminotransferase	SERINE-GLYOXYLATE-AMINOTRANSFERASE-RXN
1.1.1.29	hydroxypyruvate reductase	GLYCERATE-DEHYDROGENASE-RXN
2.7.1.31	D-glycerate 3-kinase	GLY3KIN-RXN
1.4.1.f	glycine decarboxylase	GCVMULTI-RXN
2.6.1.4	glycine transaminase	GLYCINE-AMINOTRANSFERASE-RXN
1.2.4.2	oxoglutarate dehydrogenase	2OXOGLUTDECARB-RXN
2.3.1.61	dihydrolipoyltranssuccinylase	RXN0-1147
1.2.4.4	3-methyl-2-oxobutanoate dehydrogenase	1.2.4.4-RXN
2.3.1.168	dihydrolipoyllysine-residue (2-methylpropanoyl)transferase	2.3.1.168-RXN
2.3.3.1/2.3.3.16	citrate synthase	CITSYN-RXN
1.1.1.41/1.1.1.286	NAD+-dependent isocitrate dehydrogenase	ISOCITRATE-DEHYDROGENASE-NAD+-RXN
1.2.1.ak	2-ketoglutarate dehydrogenase system	2OXOGLUTARATEDEH-RXN
6.2.1.5	succinate--CoA ligase (ADP-forming)	SUCCCOASYN-RXN
6.2.1.4	succinate--CoA ligase (GDP-forming)	SUCCINATE--COA-LIGASE-GDP-FORMING-RXN
1.1.1.42	isocitrate dehydrogenase	ISOCITDEH-RXN
1.2.7.3	2-oxoglutarate:ferredoxin oxidoreductase	2-OXOGLUTARATE-SYNTHASE-RXN
4.1.3.1	isocitrate lyase	ISOCIT-CLEAV-RXN
7.1.2.2	ATP synthase	ATPSYN-RXN
1.3.1.85	crotonyl-CoA carboxylase/reductase	RXN-8957
5.1.99.1	ethylmalonyl-CoA epimerase	RXN-16391+METHYLMALONYL-COA-EPIM-RXN
5.4.99.63	(2R)-ethylmalonyl-CoA mutase	RXN-8958
1.3.8.12	(2S)-methylsuccinyl-CoA dehydrogenase	RXN-8959
6.2.1.9	malate thiokinase	MALATE--COA-LIGASE-RXN
5.3.1.27	6-phospho-3-hexuloisomerase	R12-RXN
1.1.1.343	NAD+-dependent 6-phosphogluconate dehydrogenase	RXN-3341
3.1.2.11	acetoacetyl-CoA transferase	ACETOACETYL-COA-HYDROLASE-RXN
4.1.1.4	acetoacetate decarboxylase	ACETOACETATE-DECARBOXYLASE-RXN
1.1.1.80	isopropanol dehydrogenase	ISOPROPANOL-DEHYDROGENASE-NADP+-RXN
4.1.2.17	L-fuculose-1-phosphate aldolase	FUCPALDOL-RXN+DARABALDOL-RXN
4.1.1.1	pyruvate decarboxylase	RXN-6161
1.1.5.5	ethanol dehydrogenase	RXN-11039
5.4.99.1	glutamate mutase	METHYLASPARTATE-MUTASE-RXN
4.3.1.2	methylaspartate ammonia-lyase	METHYLASPARTATE-AMMONIA-LYASE-RXN
2.8.3.26	succinyl-CoA:mesaconate CoA transferase	RXN-12168
4.2.3.-	(Z)-beta-ocimene synthase	RXN-5123+RXN-5103+RXN-8513+RXN18C3-20+RXN18C3-21
4.2.3.108	1,8-cineole synthase	RXN-12980
4.2.3.113	alpha-terpineol synthase	RXN-5108
4.2.3.106	(E)-beta-ocimene synthase	RXN-5109
5.1.99.6	NADHX epimerase	RXN-12752
4.2.1.93	ATP-dependent NADH-hydrate dehydratase	4.2.1.93-RXN+RXN-13139
4.2.1.136	(S)-NADHX dehydratase	RXN0-6727+RXN-13141
1.8.5.5	thiosulfate reductase (quinone)	RXN-18001
3.2.1.8	endo-1,4-beta-xylanase	3.2.1.8-RXN
3.2.1.37	1,4-beta-xylosidase	3.2.1.37-RXN
3.2.1.91	celotatraose 1,4-beta-cellobiosidase (non-reducing end)	RXN-12305
3.2.1.52	beta-N-acetylhexosaminidase	3.2.1.52-RXN
3.1.6.4	keratan galactose-6-sulfatase	RXN-11568+3.1.6.4-RXN
3.2.1.35	chondroitin sulfate hydrolase	RXN-11620+RXN-11618
3.1.6.12	N-acetylgalactosamine-4-sulfatase	3.1.6.12-RXN
3.2.1.76	L-iduronidase	3.2.1.76-RXN
3.1.6.13	iduronate 2-sulfatase	RXN-11569
3.2.1.196	limit dextrin alpha-1,6-glucohydrolase	RXN0-5146
2.4.1.1	maltodextrin phosphorylase	RXN0-5182+RXN-21092+GLYCOPHOSPHORYL-RXN+RXN-9025
3.2.1.20	maltotriose glucosidase	RXN0-5183+RXN-15910
2.4.1.25	amylomaltase	AMYLOMALT-RXN
2.4.1.25/3.2.1.33	glycogen debranching system	RXN-19947
3.2.1.3	glucan 1,4-alpha-glucosidase	RXN-9024
4.2.2.10	pectin lyase	RXN-19781
4.2.2.2	pectate lyase	4.2.2.2-RXN
3.2.1.67	polygalacturan 1,4-alpha-galacturonidase	GALACTURAN-14-ALPHA-GALACTURONIDASE-RXN
3.1.1.11	pectinesterase	RXN-19782
3.2.1.55	1,5-alpha-L-arabinofuranosidase	3.2.1.55-RXN+RXN-19757+RXN-19769+RXN-19758
3.2.1.82	exo-poly-alpha-D-galacturonosidase	3.2.1.82-RXN
4.2.2.-	digalacturonate lyase	RXN-11459
3.2.1.2	beta-amylase	RXN-12384
3.2.1.41	alpha-1,6-glucanohydrolase	RXN-1824
3.2.1.1	starch glucanohydrolase	RXN-1823
3.2.1.151	xyloglucanendohydrolase	RXN-12401
3.2.1.72	xylan 1,3-beta-xylosidase	3.2.1.72-RXN
3.2.1.32	endo-1,3-beta-xylanase	3.2.1.32-RXN
3.2.1.80	fructan 1-exohydrolase	RXN-1841
3.2.1.136	glucuronoarabinoxylan endo-1,4-beta-xylanase	3.2.1.136-RXN
3.2.1.40	rutin alpha-L-rhamnosidase	RXN-13788+RXN-16250+3.2.1.40-RXN
3.2.1.31	beta-glucuronidase	BETA-GLUCURONID-RXN
3.2.1.164	endo-beta-1,6-galactanase	3.2.1.164-RXN
3.2.1.89	arabinogalactan endo-1,4-beta-galactosidase	3.2.1.89-RXN
3.2.1.171	rhamnogalacturonan hydrolase	RXN-12172
4.2.2.23	rhamnogalacturonan endolyase	RXN-12173
3.2.1.23	XLXG xyloglucan oligosaccharide beta-galactosidase	RXN-12399+RXN-12398
2.1.1.M28	tRNA cmo5U34 methyltransferase	RXN0-7167
2.1.1.228	tRNA (guanine37-N1)-methyltransferase	RXN-14517
4.1.3.44	tRNA-4-demethylwyosine synthase	RXN-14516
2.5.1.114	tRNA 4-demethylwyosine alpha-amino-alpha-carboxypropyltransferase	RXN-14518
2.1.1.282	tRNAPhe 7-[(3-amino-3-carboxypropyl)-4-demethylwyosine37-N4]-methyltransferase	RXN-14519
2.6.1.97	archaeosine synthase	RXN-12145
3.1.3.33	mRNA 5'-triphosphate phosphatase	POLYNUCLEOTIDE-5-PHOSPHATASE-RXN
2.7.7.50	mRNA guanylyltransferase	MRNA-GUANYLYLTRANSFERASE-RXN
2.1.1.56	guanine-N7 methyltransferase	MRNA-GUANINE-N7--METHYLTRANSFERASE-RXN
2.1.1.57	cap1 methyltransferase	2.1.1.57-RXN
2.3.1.234	N6-L-threonylcarbamoyladenine synthase	RXN-14570
2.1.1.202	tRNA cytosine49-C5)-methyltransferase	RXN-11859+RXN-11858+RXN-11857
2.1.1.202/2.1.1.203	tRNA cytosine34-C5)-methyltransferase	RXN-11856
2.1.1.205	tRNA (cytidine32/guanosine34-2'-O)-methyltransferase	RXN-11868
2.1.1.214	tRNA (guanine10-N2)-monomethyltransferase	RXN-12374
2.1.1.225	cytidine4 in tRNAPro 2'-O-methyltransferase	RXN-12477+RXN-12478+RXN-12479
2.1.1.211	tRNASer (uridine44-2'-O)-methyltransferase	RXN-12368
2.1.1.220	tRNA (adenine58-N1)-methyltransferase	RXN-12466
2.1.1.216	tRNA (N2-methylguanine26-N2)-methyltransferase	RXN-12376
3.1.26.12	ribonuclease	RXN0-6485
3.1.13.1	RNase BN ribonuclease	RXN0-4222+RXN0-6479
3.1.13.5	RNase T exonuclease	RXN0-6483+RXN0-6484
3.1.26.5	ribonuclease	RXN0-6480+3.1.26.5-RXN
2.1.1.229	tRNA (carboxymethyluridine34-5-O)-methyltransferase	RXN-12461
2.8.1.-	cysteine desulfurase:TUM1 sulfurtransferase	RXN-18705+RXN-18704+RXN-18701+RXN-18699+RXN-18706+RXN-18707+RXN-18709+RXN-18708+RXN-11941+RXN-16434+RXN-16435+RXN-11942+RXN-9788
2.8.1.14	tRNA 2-thiouridylase	RXN-16821
2.7.7.M15	[sulfur carrier protein TtuB] adenylyltransferase	RXN-18455
2.8.1.M4	IscS:TtuD sulfurtransferase	RXN-18770
2.8.1.M3	TtuD:TtuB sulfurtransferase	RXN-18456
2.8.1.15	tRNA-5-methyluridine54 2-sulfurtransferase	RXN-18457
2.8.1.13	tRNA-specific 2-thiouridylase	RXN0-2023+RXN-18693
2.1.1.61	5-methylaminomethyl-2-thiouridine-forming methyltransferase	RXN0-5144
2.1.1.290	7-(3-amino-3-carboxypropyl)-wyosine methyltransferase	RXN-14528
2.3.1.231	7-(3-amino-3-methylcarboxypropyl)-wyosine carboxycarbonylase	RXN-14520
4.3.2.7	glutathione-specific gamma-glutamylcyclotransferase	RXN-19024
2.3.2.5	glutaminyl-peptide cyclotransferase	RXN-19145
3.4.19.3	pyroglutamyl-peptidase I	PYROGLUTAMYL-PEPTIDASE-I-RXN
3.5.2.9	5-oxoprolinase	5-OXOPROLINASE-ATP-HYDROLYSING-RXN
3.4.11.18	methionine aminopeptidase	RXN-17873+RXN-17874+RXN-17875+RXN-17876+RXN-17877+RXN-17878
2.3.1.254	N-terminal methionine Nalpha-acetyltransferase	RXN-17850+RXN-17851+RXN-17852+RXN-17853
2.3.1.256/2.3.1.258	N-terminal L-methionine Nalpha-acetyltransferase	RXN-17854+RXN-17856+RXN-17858
2.3.1.256	N-terminal methionine Nalpha-acetyltransferase	RXN-17855+RXN-17857
2.3.1.255	N-terminal serine Nalpha-acetyltransferase	RXN-17863+RXN-17860+RXN-17864+RXN-17861+RXN-17862+RXN-17859
3.4.19.1	Nalpha-acetyl-L-methionine-peptidase	RXN-17893+RXN-17892
3.5.1.122	protein N-terminal glutamine amidohydrolase	RXN-17879
2.3.2.8	arginyl-tRNA--protein transferase	RXN-17888+RXN-17889+RXN-17890+RXN-17891
3.5.1.121	protein N-terminal asparagine amidohydrolase	RXN-17849
1.8.4.16	thioredoxin:disulfide oxidoreductase	RXN-20161+RXN-21421+RXN-21422+RXN-21410+RXN-21403+RXN-20057
1.8.4.15	thiol:disulfide oxidoreductase	RXN-21426+RXN0-7310
4.4.1.17	holocytochrome-c synthase	HOLOCYTOCHROME-C-SYNTHASE-RXN
3.4.23.36	prolipoprotein signal peptidase	RXN-17362
3.4.21.-	signal peptide peptidase	RXN0-3201
2.3.1.269	apolipoprotein N-acyltransferase	RXN-17363
2.3.2.6	leucyl-tRNA--protein transferase	RXN-17846
2.3.2.29	leucylD,E-transferase	RXN-17899
1.14.11.7	prolyl 3-hydroxylase	PROCOLLAGEN-PROLINE-3-DIOXYGENASE-RXN
1.14.11.2	prolyl 4-hydroxylase	1.14.11.2-RXN
2.4.1.50	procollagen galactosyltransferase	PROCOLLAGEN-GALACTOSYLTRANSFERASE-RXN
3.2.1.107	protein-glucosylgalactosylhydroxylysine glucosidase	3.2.1.107-RXN
6.2.1.64	E1 NEDD8-activating enzyme	RXN-18742
2.3.2.34	E2 NEDD8-conjugating enzyme	RXN-18741
2.3.2.32	E3 NEDD8 transferase	RXN-18740
6.3.1.19	prokaryotic ubiquitin-like protein ligase	RXN-16707
3.4.99.M1	N6-([prokaryotic ubiquitin-like protein]-gamma-L-glutamyl)-[protein]-L-lysine hydrolase	RXN-16708
2.8.1.12	molybdopterin synthase	RXN-18694
6.2.1.45	ubiquitin:[E1 ubiquitin-activating enzyme] ligase	UBIQUITIN--PROTEIN-LIGASE-RXN
2.3.2.24	ubiquitin-conjugating enzyme E2 (E3-independent)	RXN-16314+RXN-16313
2.3.2.23	ubiquitin-conjugating enzyme E2	RXN-15556
2.3.2.27	RING-type E3 ubiquitin transferase	RXN-15561
2.3.2.26	HECT-type E3 ubiquitin transferase	RXN-15559+RXN-15560
2.7.1.M15	lipopolysaccharide cholinephosphotransferase	RXN-18687
2.8.3.1	(S)-lactate CoA-transferase	RXN-15724+LACCOA-RXN+PROPIONATE-COA-TRANSFERASE-RXN
1.1.1.55	NADP+-dependent aldehyde reductase	RXN-15744
1.3.1.77	delphinidin reductase	RXN-9723+RXN-9724+RXN-9725
1.17.1.3	leucoanthocyanidin reductase	RXN-1481+RXN-1484+RXN-9720
1.3.8.5	short/branched chain acyl-CoA dehydrogenase	RXN-21774
1.1.1.178	short-chain (3S)-3-hydroxy-2-methylacyl-CoA dehydrogenase	RXN-21782
1.3.8.8	medium-chain 2-methyl-fatty acyl-CoA dehydrogenase	RXN-21775
1.13.11.70	all-trans-beta-apo-10'-carotenal cleavage dioxygenase	RXN-12393
3.1.1.73	feruloyl esterase	3.1.1.73-RXN
2.4.1.215	UDP-glucose:cis-zeatin O-beta-D-glucosyltransferase	RXN-4735
2.4.1.203	UDP-glucose:trans-zeatin O-beta-D-glucosyltransferase	RXN-4723
1.5.99.-	cis-zeatin:FAD oxidoreductase	RXN-4662+RXN-4661+RXN-4641+RXN-4621
1.14.19.47	linoleoyl-lipid 6-desaturase	RXN-11680+RXN-8347
1.14.19.38	gamma-linolenoyl-lipid 6-acetylenase	RXN-11681+RXN-11682
4.4.1.1/4.4.1.28	cysteine desulfhydrase	LCYSDESULF-RXN
4.4.1.2	homocysteine desulfhydrase	HOMOCYSTEINE-DESULFHYDRASE-RXN
1.4.1.14	glutamate synthase	GLUTAMATE-SYNTHASE-NADH-RXN
1.4.7.1	glutamate synthase	GLUTAMATE-SYNTHASE-FERREDOXIN-RXN
6.3.1.2	glutamine synthetase	GLUTAMINESYN-RXN
1.4.1.4	glutamate dehydrogenase	GLUTDEHYD-RXN
5.4.2.10	phosphoglucosamine mutase	5.4.2.10-RXN
2.3.1.157	glucosamine-1-phosphate acetyltransferase	2.3.1.157-RXN
5.1.3.13	dTDP-4-dehydrorhamnose 3,5-epimerase	DTDPDEHYDRHAMEPIM-RXN
5.4.99.41	lupeol synthase	RXN-111
5.4.99.40	alpha-amyrin synthase	RXN-8434
5.4.99.34	germanicol synthase	RXN-9915
5.4.99.35	taraxerol synthase	RXN-9916
5.4.99.39	beta-amyrin synthase	RXN-7570
5.4.99.49	glutinol synthase	RXN-12099
5.4.99.50	friedelin synthase	RXN-12101
5.4.99.55	delta-amyrin synthase	RXN-12847
5.4.99.36	isomultiflorenol synthase	RXN-12103
2.3.1.146	pinosylvin synthase	PINOSYLVIN-SYNTHASE-RXN
2.7.1.74/2.7.1.113/2.7.1.145	2'-deoxyguanosine kinase	DEOXYGUANOSINE-KINASE-RXN
2.7.1.74/2.7.1.76/2.7.1.145	2'-deoxyadenosine kinase	DEOXYADENOSINE-KINASE-RXN
2.7.4.11/2.7.4.13	dAMP kinase	DEOXYADENYLATE-KINASE-RXN
2.7.4.12/2.7.4.13	deoxyguanylate kinase	GMKALT-RXN+DTMPKI-RXN
2.7.4.9/2.7.4.12/2.7.4.13	thymidylate kinase	DTMPKI-RXN
2.7.4.13/2.7.4.14/2.7.4.25	dCMP kinase	RXN-7913
3.6.1.15	CTP triphosphatase	RXN-12195
1.17.4.1	CDP reductase	CDPREDUCT-RXN+UDPREDUCT-RXN+ADPREDUCT-RXN+RXN0-747+GDPREDUCT-RXN+RXN0-748+RXN0-722+RIBONUCLEOSIDE-DIP-REDUCTII-RXN
3.6.1.6	nucleoside diphosphate phosphohydrolase	RXN-14187
3.5.4.12	dCMP deaminase	DCMP-DEAMINASE-RXN
3.6.1.9/3.6.1.23	dUTP diphosphatase	DUTP-PYROP-RXN
2.1.1.148	flavin-dependent thymidylate synthase	RXN-8850
3.6.1.9/3.6.1.12/3.6.1.65	dCTP pyrophosphohydrolase	DCTP-PYROPHOSPHATASE-RXN
2.1.1.146	S-adenosyl-L-methionine eugenol-O-methyltransferase	RXN-6741
2.1.1.146/2.1.1.279	SAM isoeugenol O-methyltransferase	2.1.1.146-RXN
1.3.1.44	crotonyl-CoA reductase	RXN-12558
1.2.1.57	butanal dehydrogenase	BUTANAL-DEHYDROGENASE-RXN
1.13.11.6	3-hydroxyanthranilate 3,4-dioxygenase	1.13.11.6-RXN
4.1.1.45	2-amino-3-carboxymuconate 6-semialdehyde decarboxylase	AMINO-CARBOXYMUCONATE-SEMIALDEHYDE-RXN
1.2.1.25	2-oxobutanoate dehydrogenase	RXN-7790
5.4.99.2	methylmalonyl-CoA mutase	METHYLMALONYL-COA-MUT-RXN
1.3.8.1	butyryl-CoA dehydrogenase	BUTYRYL-COA-DEHYDROGENASE-RXN
2.8.3.1/2.8.3.8	acetate CoA-transferase	R11-RXN
4.1.1.81	L-threonine-O-3-phosphate decarboxylase	4.1.1.81-RXN
2.4.2.21	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	DMBPPRIBOSYLTRANS-RXN
4.99.1.3	sirohydrochlorin cobaltochelatase	4.99.1.3-RXN
2.1.1.151	cobalt-sirohydrochlorin (C20)-methyltransferase	2.1.1.151-RXN
2.1.1.271	cobalt precorrin-4 (C11)-methyltransferase	RXN-8762
3.7.1.12	cobalt-precorrin 5A hydrolase	RXN-8763
2.1.1.195	cobalt-precorrin-5B (C1)-methyltransferase	RXN-8764
1.3.1.106	cobalt-precorrin-6A reductase	RXN-8765
2.1.1.196	cobalt-precorrin-6B (C15)-methyltransferase [decarboxylating]	RXN-8766
2.1.1.289	cobalt-precorrin-7 (C5)-methyltransferase	RXN-8767
5.4.99.60	cobalt-precorrin-8 methylmutase	RXN-8768
6.3.5.11	cobyrinate A,C-diamide synthase	RXN-8769
6.3.5.10	adenosyl-cobyrate synthase	R345-RXN
6.3.1.10	adenosylcobinamide-phosphate synthase	RXN-6261
2.7.7.62	GTP:adenosylcobinamide-phosphate guanylyltransferase	COBINPGUANYLYLTRANS-RXN
2.7.8.26	adenosylcobinamide-GDP:alpha-ribazole-5-phosphate ribazoletransferase	COBALAMIN5PSYN-RXN
3.1.3.73	adenosylcobalamine-5'-phosphate phosphatase	RXN-8770
2.1.1.130	precorrin-2 (C20)-methyltransferase	2.1.1.130-RXN
1.14.13.83	precorrin 3B synthase	R321-RXN
2.1.1.131	precorrin-3B (C17)-methyltransferase	2.1.1.131-RXN
2.1.1.133	precorrin-4 (C11)-methyltransferase	2.1.1.133-RXN
2.1.1.152	precorrin-5 (C1)-methyltransferase	R322-RXN
1.3.1.54	precorrin-6A reductase	1.3.1.54-RXN
5.4.99.61	precorrin-8x methylmutase	5.4.1.2-RXN
6.3.5.9	hydrogenobyrinate a,c-diamide synthase	R341-RXN
6.6.1.2	cobaltochelatase	R342-RXN
1.14.19.3	linoleoyl-CoA 6-desaturase	1.14.19.3-RXN
1.14.19.44	icosatrienoyl-CoA 5-desaturase	RXN-16064
1.4.3.16	L-aspartate oxidase	L-ASPARTATE-OXID-RXN
2.5.1.72	quinolinate synthase	QUINOLINATE-SYNTHA-RXN
2.4.2.19	quinolinate phosphoribosyltransferase (decarboxylating)	QUINOPRIBOTRANS-RXN
2.7.7.18	nicotinate-mononucleotide adenylyltransferase	NICONUCADENYLYLTRAN-RXN
6.3.5.1	NAD+ synthetase, glutamine dependent	NAD-SYNTH-GLN-RXN
6.3.1.5	NAD+ synthetase, NH3-dependent	NAD-SYNTH-NH3-RXN
2.5.1.6	methionine adenosyltransferase	S-ADENMETSYN-RXN
5.5.1.19	lycopene beta-cyclase	RXN1F-150+RXN1F-151+RXN1F-148
2.6.1.62	7,8-diaminopelargonic acid synthase	DAPASYN-RXN
6.3.3.3	dethiobiotin synthetase	DETHIOBIOTIN-SYN-RXN
2.6.1.105	lysine--8-amino-7-oxononanoate transaminase	RXN-14930
2.7.8.41	cardiolipin synthase	RXN-8141
2.4.2.26	protein xylosyltransferase	2.4.2.26-RXN
2.4.1.133	UDP-galactose:beta-xylose beta-1,4-galactosyltransferase	2.4.1.133-RXN
2.4.1.134	galactosylxylosylprotein 3-beta-galactosyltransferase	2.4.1.134-RXN
2.4.1.135	galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase	2.4.1.135-RXN
2.4.1.174	glucuronylgalactosylproteoglycan 4-beta-N-acetylgalactosaminyltransferase	2.4.1.174-RXN
2.4.1.226	N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase	RXN-16324
2.4.1.175	glucuronosyl-N-acetylgalactosaminyl-proteoglycan 4-beta-N-acetylgalactosaminyltransferase	RXN-16325
2.8.2.5	[chondroitin]-N-acetylgalactosamine 4-O-sulfotransferase	CHONDROITIN-4-SULFOTRANSFERASE-RXN
2.8.2.33	[chondroitin]-N-acetylgalactosamine 4-sulfate 6-O-sulfotransferase	RXN-7954+RXN-7953
2.8.2.17	chondroitin 6-sulfotransferase	CHONDROITIN-6-SULFOTRANSFERASE-RXN
5.1.3.19	chondroitin-glucuronate 5-epimerase	CHONDROITIN-GLUCURONATE-5-EPIMERASE-RXN
2.8.2.35	dermatan 4-sulfotransferase	RXN-11555
1.13.12.19	2-oxoglutarate oxygenase/decarboxylase (ethylene-forming)	RXN-12538
4.3.2.9	gamma-glutamyl cyclotransferase	GAMMA-GLUTAMYLCYCLOTRANSFERASE-RXN
1.3.1.109	butanoyl-CoA dehydrogenase (NAD+, ferredoxin)	RXN-16834
2.4.1.223	glucuronyl-galactosyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase	2.4.1.223-RXN
2.4.1.225	N-acetylglucosaminyl-proteoglycan 4-beta-glucuronosyltransferase	2.4.1.225-RXN
2.4.1.224	N-acetylglucosaminyl-proteoglycan 4-beta-glucuronosyltransferase	2.4.1.224-RXN
2.8.2.8	heparan sulfate N-sulfotransferase	HEPARITIN-SULFOTRANSFERASE-RXN
2.8.2.23	[heparan sulfate]-alpha-D-N-sulfoglucosamine 3-O-sulfotransferase	2.8.2.23-RXN
2.8.2.29	[heparan sulfate]-glucosamine 3-O-sulfotransferase	2.8.2.29-RXN
2.8.2.30	[heparan sulfate]-glucosamine 3-O-sulfotransferase	2.8.2.30-RXN
5.1.3.17	heparosan-N-sulfate-glucuronate 5-epimerase	5.1.3.17-RXN
1.1.1.17	mannitol-1-phosphate 5-dehydrogenase	MANNPDEHYDROG-RXN
1.1.1.27	L-lactate dehydrogenase	L-LACTATE-DEHYDROGENASE-RXN
2.6.1.100	L-glutamine:2-deoxy-scyllo-inosose aminotransferase	RXN-13117
1.1.1.329	2-deoxy-scyllo-inosamine dehydrogenase	RXN-13118
2.6.1.101	L-glutamine:5-amino-2,3,4-trihydroxycyclohexanone aminotransferase	RXN-13119
2.4.1.284	2-deoxystreptamine glucosyltransferase	RXN-13121
2.4.1.301	2'-deamino-2'-hydroxyparomamine kanosaminyltransferase	RXN-13124+RXN-13125+RXN-13148+RXN-13147+RXN-13149+RXN-13145
2.6.1.94	glutamate--2'-deamino-2'-hydroxy-6'-dehydroparomamine aminotransferase	RXN-13127
2.4.1.283	2-deoxystreptamine N-acetyl-D-glucosaminyltransferase	RXN-13122
3.5.1.112	2'-N-acetylparomamine deacetylase	RXN-13123
1.1.3.43	paromamine 6'-oxidase	RXN-13165
2.6.1.93	glutamate--6'-dehydroparomanine aminotransferase	RXN-13146
1.14.11.37	kanamycin B dioxygenase	RXN-14401
1.1.1.355	2'-oxokanamycin reductase	RXN-14402
4.2.3.19	ent-kaurene synthase	4.2.3.19-RXN
2.4.99.15	KDO2-lipid IVA (2-4) 3-deoxy-D-manno-octulosonate  transferase	RXN-11326+RXN-11327
2.4.99.14	KDO2-lipid IVA (2-8) 3-deoxy-D-manno-octulosonic acid transferase	RXN-11323
1.1.1.346	2,5-diketo-D-gluconate reductase	RXN0-7020
1.1.1.264	L-idonate 5-dehydrogenase	1.1.1.264-RXN
1.1.1.69	5-keto-D-gluconate 5-reductase	GLUCONATE-5-DEHYDROGENASE-RXN
1.1.1.215	2-keto-D-gluconate reductase	1.1.1.215-RXN
6.3.5.5	carbamoyl phosphate synthetase	CARBPSYN-RXN
2.3.1.1	N-acetylglutamate synthase	N-ACETYLTRANSFER-RXN
